Name,Rob,RobM,RobI,Her,HerM,HerI,HerI_RobI
HerIT0R1,0,0,0,1,1,0,0
HerIT0R2,0,0,0,1,1,0,0
HerIT0R3,0,0,0,1,1,0,0
HerIT48R1,0,0,0,1,0,1,1
HerIT48R2,0,0,0,1,0,1,1
HerIT48R3,0,0,0,1,0,1,1
HerIT96R1,0,0,0,1,0,1,1
HerIT96R2,0,0,0,1,0,1,1
HerIT96R3,0,0,0,1,0,1,1
HerMT0R1,0,0,0,1,1,0,0
HerMT0R2,0,0,0,1,1,0,0
HerMT0R3,0,0,0,1,1,0,0
HerMT48R1,0,0,0,1,1,0,0
HerMT48R2,0,0,0,1,1,0,0
HerMT48R3,0,0,0,1,1,0,0
HerMT96R1,0,0,0,1,1,0,0
HerMT96R2,0,0,0,1,1,0,0
HerMT96R3,0,0,0,1,1,0,0
RobIT0R1,1,1,0,0,0,0,0
RobIT0R2,1,1,0,0,0,0,0
RobIT0R3,1,1,0,0,0,0,0
RobIT48R1,1,0,1,0,0,0,1
RobIT48R2,1,0,1,0,0,0,1
RobIT48R3,1,0,1,0,0,0,1
RobIT96R1,1,0,1,0,0,0,1
RobIT96R2,1,0,1,0,0,0,1
RobIT96R3,1,0,1,0,0,0,1
RobMT0R1,1,1,0,0,0,0,0
RobMT0R2,1,1,0,0,0,0,0
RobMT0R3,1,1,0,0,0,0,0
RobMT48R1,1,1,0,0,0,0,0
RobMT48R2,1,1,0,0,0,0,0
RobMT48R3,1,1,0,0,0,0,0
RobMT96R1,1,1,0,0,0,0,0
RobMT96R2,1,1,0,0,0,0,0
RobMT96R3,1,1,0,0,0,0,0
